itemid,hotelid,hotelname,features
690,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=coffeetea maker|amen=desk|amen=dvdcd player|amen=free wi-fi in all rooms|amen=full kitchen|amen=hair dryer|amen=heating|amen=in-room safe box|amen=kitchenware|amen=laptop safe box|amen=linens|amen=microwave|amen=mirror|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=separate dining area|amen=slippers|amen=smoke detector|amen=sofa|amen=soundproofing|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
691,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
692,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
693,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
694,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
695,1755523,AMEDIA Luxury Suites Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
696,1980151,Fruhstuckspension Ingrid,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=closet|amen=clothes rack|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=toiletries|amen=towels
697,1980151,Fruhstuckspension Ingrid,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=closet|amen=clothes rack|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=toiletries|amen=towels
698,2096226,Ibis Woerthersee,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=closet|amen=clothes rack|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
699,2096226,Ibis Woerthersee,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=linens|amen=satellitecable channels|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
700,2096226,Ibis Woerthersee,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=clothes dryer|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=woodenparqueted flooring
